three_words,setup_url
harbor.wren.coral,https://dailydosebox.com/setup?box=harbor.wren.coral
ivory.pier.beacon,https://dailydosebox.com/setup?box=ivory.pier.beacon
breeze.stone.moss,https://dailydosebox.com/setup?box=breeze.stone.moss
clay.hollow.olive,https://dailydosebox.com/setup?box=clay.hollow.olive
birch.walnut.marsh,https://dailydosebox.com/setup?box=birch.walnut.marsh
echo.aspen.cedar,https://dailydosebox.com/setup?box=echo.aspen.cedar
lake.kelp.bramble,https://dailydosebox.com/setup?box=lake.kelp.bramble
falcon.cedar.nimbus,https://dailydosebox.com/setup?box=falcon.cedar.nimbus
